code,standard,short name,definition,link,units,Preferred Label
Amundsen Seabird CTD Data,Amundsen,,The dataset in concern,,,
BODC: Bios2piparUWIRVolt,British Oceanographic Data Center,Bios2piparUWIRVolt,Raw signal (voltage) of instrument output by Biospherical Instruments 2-pi PAR upwelling light meter,http://vocab.nerc.ac.uk/collection/P01/current/LVLTBU01,,
BODC: BK_SBE43,British Oceanographic Data Center,BK_SBE43,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor and calibration against sample data and computation from concentration using Benson and Krause algorithm,http://vocab.nerc.ac.uk/collection/P01/current/OXYSSC01,,
BODC: CDOM_fluor,British Oceanographic Data Center,CDOM_fluor,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,http://vocab.nerc.ac.uk/collection/P01/current/CDOMZZ01/,,
BODC: Cond,British Oceanographic Data Center,Cond,Electrical conductivity of the water body,http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,,
BODC: CTD_Sound_Vel,British Oceanographic Data Center,CTD_Sound_Vel,Sound velocity in the water body by CTD and computation from temperature and salinity by unspecified algorithm,http://vocab.nerc.ac.uk/collection/P01/current/SVELCT01,,
BODC: CTDTmp90,British Oceanographic Data Center,CTDTmp90,Temperature (ITS-90) of the water body by CTD or STD,http://vocab.nerc.ac.uk/collection/P01/current/TEMPS901,,
BODC: IRRDUV01,British Oceanographic Data Center,IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,http://vocab.nerc.ac.uk/collection/P01/current/IRRDUV01,,
BODC: N03,British Oceanographic Data Center,N03,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [unknown phase],http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX,,
BODC: OXYOCPVL,British Oceanographic Data Center,OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPVL,,
BODC: P_sal,British Oceanographic Data Center,P_sal,Practical salinity of the water body by conductivity cell and computation using UNESCO 1983 algorithm,http://vocab.nerc.ac.uk/collection/P01/current/PSALPR01,,
BODC: Potemp_ipts68,British Oceanographic Data Center,Potemp_ipts68,"Potential temperature of the water body by CTD and computation from pressure, salinity and IPTS-68 temperature using UNESCO algorithm",http://vocab.nerc.ac.uk/collection/P01/current/POTMS601,,
BODC: SigTheta,British Oceanographic Data Center,SigTheta,Sigma-theta of the water body by CTD and computation from salinity and potential temperature using UNESCO algorithm,http://vocab.nerc.ac.uk/collection/P01/current/SIGTPR01,,
BODC: Temp_ITS90_StdDev,British Oceanographic Data Center,Temp_ITS90_StdDev,Temperature (ITS-90) standard deviation of the water body,http://vocab.nerc.ac.uk/collection/P01/current/TEMPSD01,,
BODC:Depth,British Oceanographic Data Center,Depth,Depth (spatial coordinate) relative to water surface in the water body by measurement of winch wire out,http://vocab.nerc.ac.uk/collection/P01/current/DEPHWO01,,
